iter	Passed	Remaining
0	11	1116
1	21	1063
2	30	993
3	42	1008
4	52	996
5	61	960
6	72	963
7	80	921
8	88	899
9	96	868
10	106	859
11	114	839
12	123	828
13	131	808
14	141	801
15	150	789
16	158	771
17	167	761
18	175	748
19	185	743
20	194	732
21	203	721
22	211	706
23	222	703
24	230	692
25	239	683
26	248	672
27	263	677
28	291	713
29	305	712
30	316	703
31	323	687
32	332	675
33	340	660
34	350	650
35	357	636
36	366	624
37	374	610
38	383	599
39	390	586
40	399	575
41	407	562
42	415	551
43	423	538
44	432	528
45	439	516
46	450	507
47	457	495
48	466	485
49	473	473
50	482	463
51	489	451
52	498	441
53	505	431
54	514	421
55	523	411
56	532	401
57	539	390
58	548	381
59	556	370
60	566	362
61	575	352
62	586	344
63	595	335
64	603	324
65	611	315
66	619	305
67	628	295
68	636	285
69	645	276
70	652	266
71	663	257
72	672	248
73	680	239
74	689	229
75	697	220
76	705	210
77	713	201
78	723	192
79	731	182
80	740	173
81	747	164
82	756	155
83	764	145
84	773	136
85	782	127
86	791	118
87	798	108
88	807	99
89	815	90
90	824	81
91	832	72
92	840	63
93	848	54
94	857	45
95	865	36
96	876	27
97	884	18
98	892	9
99	900	0
